id,customer_id,order_id,amount,status,datetime
1,1080,ORD0001,3216.91,Pending,2026-09-05 21:55:00
2,1014,ORD0002,3418.77,Completed,2026-09-19 17:39:00
3,1038,ORD0003,981.08,Completed,2026-09-04 14:03:00
4,1066,ORD0004,3698.21,Completed,2026-09-26 01:13:00
5,1071,ORD0005,2089.93,Completed,2026-09-22 03:02:00
6,1007,ORD0006,3833.41,Completed,2026-09-03 00:40:00
7,1038,ORD0007,1731.79,Cancelled,2026-09-16 14:57:00
8,1027,ORD0008,3644.54,Completed,2026-09-10 11:13:00
9,1026,ORD0009,1235.71,Cancelled,2026-09-29 18:11:00
10,1087,ORD0010,2090.26,Pending,2026-09-07 22:17:00
11,1009,ORD0011,2879.61,Cancelled,2026-09-24 17:16:00
12,1073,ORD0012,3978.47,Pending,2026-09-29 10:17:00
13,1077,ORD0013,335.34,Pending,2026-09-30 15:37:00
14,1008,ORD0014,2082.89,Pending,2026-09-29 11:11:00
15,1049,ORD0015,1216.45,Completed,2026-09-27 20:19:00
16,1091,ORD0016,2810.15,Completed,2026-09-09 16:53:00
17,1037,ORD0017,659.39,Completed,2026-09-24 11:08:00
18,1037,ORD0018,2274.32,Pending,2026-09-11 02:42:00
19,1050,ORD0019,919.06,Completed,2026-09-26 03:39:00
20,1021,ORD0020,3783.65,Completed,2026-09-26 08:27:00
21,1032,ORD0021,4683.04,Cancelled,2026-09-07 16:03:00
22,1096,ORD0022,1282.92,Pending,2026-09-13 11:57:00
23,1069,ORD0023,563.79,Cancelled,2026-09-25 06:50:00
24,1010,ORD0024,1305.56,Cancelled,2026-09-26 07:55:00
25,1040,ORD0025,706.1,Completed,2026-09-21 04:47:00
26,1100,ORD0026,3067.87,Cancelled,2026-09-30 12:33:00
27,1023,ORD0027,3376.68,Pending,2026-09-25 14:39:00
28,1081,ORD0028,4973.63,Pending,2026-09-23 22:03:00
29,1058,ORD0029,3480.26,Cancelled,2026-09-09 12:46:00
30,1092,ORD0030,4408.91,Cancelled,2026-09-01 23:28:00
31,1009,ORD0031,640.73,Pending,2026-09-19 16:46:00
32,1062,ORD0032,2963.9,Pending,2026-09-07 15:43:00
33,1013,ORD0033,3934.8,Cancelled,2026-09-30 09:02:00
34,1062,ORD0034,2002.98,Completed,2026-09-08 06:11:00
35,1041,ORD0035,1649.28,Cancelled,2026-09-23 13:35:00
36,1098,ORD0036,945.92,Completed,2026-09-21 10:37:00
37,1056,ORD0037,3982.51,Pending,2026-09-19 17:06:00
38,1016,ORD0038,485.06,Cancelled,2026-09-12 06:39:00
39,1100,ORD0039,657.59,Completed,2026-09-14 20:07:00
40,1058,ORD0040,489.61,Pending,2026-09-15 06:01:00
41,1099,ORD0041,4289.54,Cancelled,2026-09-15 01:56:00
42,1076,ORD0042,1114.31,Completed,2026-09-13 08:32:00
43,1017,ORD0043,415.82,Cancelled,2026-10-01 00:25:00
44,1007,ORD0044,670.89,Cancelled,2026-09-24 08:44:00
45,1034,ORD0045,2132.33,Completed,2026-09-25 20:30:00
46,1084,ORD0046,1198.52,Cancelled,2026-09-04 17:55:00
47,1061,ORD0047,3346.77,Completed,2026-09-17 13:52:00
48,1089,ORD0048,3665.36,Completed,2026-09-12 10:36:00
49,1037,ORD0049,2017.33,Pending,2026-09-05 04:21:00
50,1075,ORD0050,4826.24,Completed,2026-09-13 13:32:00
51,1078,ORD0051,948.4,Completed,2026-09-23 18:21:00
52,1032,ORD0052,2367.57,Completed,2026-09-06 05:39:00
53,1007,ORD0053,2142.89,Cancelled,2026-09-20 02:15:00
54,1099,ORD0054,3988.07,Completed,2026-09-05 13:23:00
55,1028,ORD0055,3381.84,Pending,2026-09-09 04:44:00
56,1041,ORD0056,4222.73,Completed,2026-09-21 00:19:00
57,1024,ORD0057,3121.4,Cancelled,2026-09-17 11:46:00
58,1085,ORD0058,534.79,Completed,2026-09-10 02:29:00
59,1061,ORD0059,1856.37,Completed,2026-09-11 16:42:00
60,1091,ORD0060,4196.06,Pending,2026-09-16 13:59:00
61,1050,ORD0061,3638.46,Pending,2026-09-04 06:02:00
62,1011,ORD0062,206.25,Completed,2026-09-27 03:56:00
63,1017,ORD0063,2134.62,Pending,2026-10-01 00:24:00
64,1039,ORD0064,3050.35,Cancelled,2026-09-03 05:45:00
65,1042,ORD0065,1349.93,Completed,2026-09-05 19:50:00
66,1019,ORD0066,3652.07,Cancelled,2026-09-30 16:36:00
67,1046,ORD0067,1309.09,Pending,2026-09-18 04:41:00
68,1030,ORD0068,152.62,Pending,2026-09-09 06:16:00
69,1056,ORD0069,782.51,Pending,2026-09-28 01:10:00
70,1069,ORD0070,3452.25,Pending,2026-09-02 06:18:00
71,1011,ORD0071,3848.53,Cancelled,2026-09-18 15:12:00
72,1054,ORD0072,3286.33,Pending,2026-09-24 01:44:00
73,1062,ORD0073,2660.85,Completed,2026-09-21 10:18:00
74,1098,ORD0074,4438.58,Cancelled,2026-09-29 15:23:00
75,1079,ORD0075,2965.43,Pending,2026-09-29 00:35:00
76,1008,ORD0076,786.1,Pending,2026-09-18 07:35:00
77,1062,ORD0077,297.04,Pending,2026-09-26 06:08:00
78,1028,ORD0078,2943.82,Completed,2026-09-27 00:11:00
79,1056,ORD0079,2313.92,Pending,2026-09-08 01:05:00
80,1047,ORD0080,3002.99,Cancelled,2026-09-04 13:30:00
81,1090,ORD0081,1860.58,Completed,2026-09-27 12:14:00
82,1032,ORD0082,2149.35,Cancelled,2026-09-11 15:44:00
83,1070,ORD0083,2770.58,Completed,2026-09-16 08:24:00
84,1061,ORD0084,4643.07,Pending,2026-09-20 13:08:00
85,1092,ORD0085,3346.72,Pending,2026-09-18 12:38:00
86,1025,ORD0086,704.03,Pending,2026-09-26 02:16:00
87,1027,ORD0087,1588.91,Pending,2026-09-21 11:25:00
88,1030,ORD0088,2399.08,Completed,2026-09-13 13:47:00
89,1036,ORD0089,4165.2,Pending,2026-09-07 02:37:00
90,1019,ORD0090,3354.09,Completed,2026-09-15 01:46:00
91,1005,ORD0091,2801.31,Cancelled,2026-09-09 09:08:00
92,1026,ORD0092,3718.07,Completed,2026-09-13 02:46:00
93,1091,ORD0093,2308.97,Completed,2026-09-18 18:02:00
94,1018,ORD0094,1070.52,Cancelled,2026-09-13 06:04:00
95,1096,ORD0095,2612.38,Cancelled,2026-09-03 23:02:00
96,1006,ORD0096,4859.54,Pending,2026-10-01 04:26:00
97,1075,ORD0097,4533.55,Cancelled,2026-09-03 20:07:00
98,1049,ORD0098,3253.7,Pending,2026-09-08 03:30:00
